Date and Time,Water Temperature (F),Est. Flow Rate[m^3/s]
9/1/17 12:01 AM,66.236,0.051210668
9/1/17 12:04 AM,66.236,0.042160695
9/1/17 12:07 AM,66.146,0.029130323
9/1/17 12:10 AM,66.2,0.029003478
9/1/17 12:13 AM,66.236,0.023817344
9/1/17 12:16 AM,66.254,0.013823246
9/1/17 12:19 AM,66.272,0.010061231
9/1/17 12:22 AM,66.29,0.008013472
9/1/17 12:25 AM,66.254,0.004908082
9/1/17 12:28 AM,66.29,0.005631418
9/1/17 12:31 AM,66.29,0.001976135
9/1/17 12:34 AM,66.344,-0.00449478
9/1/17 12:37 AM,66.326,0.001028251
9/1/17 12:40 AM,66.362,-0.001642542
9/1/17 12:43 AM,66.326,-0.000327539
9/1/17 12:46 AM,66.344,0.002046381
9/1/17 12:49 AM,66.344,-0.001166151
9/1/17 12:52 AM,66.326,0.004741861
9/1/17 12:55 AM,66.344,0.000244243
9/1/17 12:58 AM,66.308,0.005865084
9/1/17 1:01 AM,66.29,0.003823522
9/1/17 1:04 AM,66.272,-0.003334235
9/1/17 1:07 AM,66.29,0.000245324
9/1/17 1:10 AM,66.272,-0.001804542
9/1/17 1:13 AM,66.254,0.004122621
9/1/17 1:16 AM,66.218,0.005619926
9/1/17 1:19 AM,66.146,0.01074292
9/1/17 1:22 AM,66.128,0.010887803
9/1/17 1:25 AM,66.092,0.0094788
9/1/17 1:28 AM,66.056,0.00914383
9/1/17 1:31 AM,66.002,0.008517164
9/1/17 1:34 AM,66.074,0.002544039
9/1/17 1:37 AM,66.056,0.003973671
9/1/17 1:40 AM,66.02,-2.49102E-05
9/1/17 1:43 AM,66.02,-0.003011875
9/1/17 1:46 AM,66.02,-0.001402468
9/1/17 1:49 AM,66.002,-0.00506435
9/1/17 1:52 AM,66.02,-0.003964238
9/1/17 1:55 AM,65.984,-0.004594797
9/1/17 1:58 AM,65.984,0.00235096
9/1/17 2:01 AM,65.93,0.001868566
9/1/17 2:04 AM,65.894,0.000777852
9/1/17 2:07 AM,65.894,-0.0062297
9/1/17 2:10 AM,65.876,-0.007422367
9/1/17 2:13 AM,65.822,-0.015809612
9/1/17 2:16 AM,65.786,-0.012350907
9/1/17 2:19 AM,65.822,-0.016511386
