Date and Time,Water Temperature (F),Estimated Flow Rate (m3/s)
9/28/16 8:41 PM,64.94,0.138
9/28/16 8:42 PM,64.94,0.137
9/28/16 8:43 PM,64.94,0.139
9/28/16 8:44 PM,64.94,0.139
9/28/16 8:45 PM,64.94,0.14
9/28/16 8:46 PM,64.94,0.138
9/28/16 8:47 PM,64.94,0.135
9/28/16 8:48 PM,64.922,0.138
9/28/16 8:49 PM,64.94,0.137
9/28/16 8:50 PM,64.94,0.137
9/28/16 8:51 PM,64.922,0.137
9/28/16 8:52 PM,64.94,0.134
9/28/16 8:53 PM,64.94,0.132
9/28/16 8:54 PM,64.922,0.133
9/28/16 8:55 PM,64.922,0.135
9/28/16 8:56 PM,64.922,0.136
9/28/16 8:57 PM,64.922,0.136
9/28/16 8:58 PM,64.922,0.138
9/28/16 8:59 PM,64.922,0.135
9/28/16 9:00 PM,64.922,0.131
9/28/16 9:01 PM,64.922,0.131
9/28/16 9:02 PM,64.922,0.132
9/28/16 9:03 PM,64.922,0.132
9/28/16 9:04 PM,64.922,0.131
9/28/16 9:05 PM,64.922,0.134
9/28/16 9:06 PM,64.922,0.134
9/28/16 9:07 PM,64.922,0.131
9/28/16 9:08 PM,64.922,0.129
9/28/16 9:09 PM,64.922,0.13
9/28/16 9:10 PM,64.922,0.131
9/28/16 9:11 PM,64.922,0.13
9/28/16 9:12 PM,64.922,0.132
9/28/16 9:13 PM,64.922,0.132
9/28/16 9:14 PM,64.922,0.131
9/28/16 9:15 PM,64.922,0.13
9/28/16 9:16 PM,64.922,0.131
9/28/16 9:17 PM,64.922,0.132
9/28/16 9:18 PM,64.922,0.132
9/28/16 9:19 PM,64.922,0.131
9/28/16 9:20 PM,64.904,0.13
9/28/16 9:21 PM,64.922,0.129
9/28/16 9:22 PM,64.922,0.129
9/28/16 9:26 PM,64.904,0.129
9/28/16 9:27 PM,64.904,0.127
9/28/16 9:28 PM,64.922,0.128
9/28/16 9:29 PM,64.958,0.13
9/28/16 9:30 PM,64.976,0.133
9/28/16 9:31 PM,65.03,0.135
9/28/16 9:32 PM,65.084,0.149
9/28/16 9:33 PM,65.192,0.228
9/28/16 9:34 PM,65.354,0.252
9/28/16 9:35 PM,65.516,0.272
9/28/16 9:36 PM,65.624,0.285
9/28/16 9:37 PM,65.588,0.308
9/28/16 9:38 PM,65.462,0.335
9/28/16 9:39 PM,65.462,0.365
9/28/16 9:40 PM,65.588,0.389
9/28/16 9:41 PM,65.606,0.405
9/28/16 9:42 PM,65.588,0.393
9/28/16 9:43 PM,65.57,0.55
9/28/16 9:44 PM,65.552,0.597
9/28/16 9:45 PM,65.48,0.712
9/28/16 9:46 PM,65.336,0.887
9/28/16 9:47 PM,65.192,1.05
9/28/16 9:48 PM,65.12,1.19
9/28/16 9:49 PM,65.192,1.425
9/28/16 9:50 PM,65.318,1.766
9/28/16 9:51 PM,65.336,1.998
9/28/16 9:52 PM,65.264,2.232
9/28/16 9:53 PM,65.174,2.701
9/28/16 9:54 PM,65.084,3.075
9/28/16 9:55 PM,64.994,3.216
9/28/16 9:56 PM,64.886,3.222
9/28/16 9:57 PM,64.796,3.765
9/28/16 9:58 PM,64.796,3.847
9/28/16 9:59 PM,64.85,3.881
9/28/16 10:00 PM,64.886,4.234
9/28/16 10:01 PM,64.904,4.124
9/28/16 10:02 PM,64.886,4.212
9/28/16 10:03 PM,64.868,4.094
9/28/16 10:04 PM,64.886,4.594
9/28/16 10:05 PM,64.922,4.264
9/28/16 10:06 PM,64.922,4.331
9/28/16 10:07 PM,64.904,4.182
9/28/16 10:08 PM,64.886,3.785
9/28/16 10:09 PM,64.85,3.725
9/28/16 10:10 PM,64.832,3.678
9/28/16 10:11 PM,64.814,3.4
9/28/16 10:12 PM,64.796,3.121
9/28/16 10:13 PM,64.778,3.234
9/28/16 10:14 PM,64.76,2.972
9/28/16 10:15 PM,64.742,2.861
9/28/16 10:16 PM,64.724,2.916
9/28/16 10:17 PM,64.706,2.649
9/28/16 10:18 PM,64.688,2.894
9/28/16 10:19 PM,64.67,2.807
9/28/16 10:20 PM,64.67,2.455
9/28/16 10:21 PM,64.688,2.674
9/28/16 10:22 PM,64.688,2.464
9/28/16 10:23 PM,64.706,2.407
9/28/16 10:24 PM,64.724,2.528
9/28/16 10:25 PM,64.724,2.309
9/28/16 10:26 PM,64.724,1.965
9/28/16 10:27 PM,64.724,2.135
9/28/16 10:28 PM,64.724,2.201
9/28/16 10:29 PM,64.706,1.751
9/28/16 10:30 PM,64.706,1.973
9/28/16 10:31 PM,64.706,1.687
9/28/16 10:32 PM,64.706,1.578
9/28/16 10:33 PM,64.706,1.542
9/28/16 10:34 PM,64.706,1.478
9/28/16 10:35 PM,64.688,1.392
9/28/16 10:36 PM,64.688,1.334
9/28/16 10:37 PM,64.706,1.404
9/28/16 10:38 PM,64.706,1.224
9/28/16 10:39 PM,64.706,1.173
9/28/16 10:40 PM,64.706,1.063
9/28/16 10:41 PM,64.706,0.966
9/28/16 10:42 PM,64.706,1
9/28/16 10:43 PM,64.706,0.933
9/28/16 10:44 PM,64.706,0.914
9/28/16 10:45 PM,64.724,0.845
9/28/16 10:46 PM,64.742,0.856
9/28/16 10:47 PM,64.742,0.799
9/28/16 10:48 PM,64.742,0.787
9/28/16 10:49 PM,64.742,0.733
9/28/16 10:50 PM,64.742,0.778
9/28/16 10:51 PM,64.76,0.695
9/28/16 10:52 PM,64.76,0.613
9/28/16 10:53 PM,64.778,0.57
9/28/16 10:54 PM,64.778,0.573
9/28/16 10:55 PM,64.796,0.558
9/28/16 10:56 PM,64.796,0.552
9/28/16 10:57 PM,64.814,0.562
9/28/16 10:58 PM,64.814,0.552
9/28/16 10:59 PM,64.814,0.561
9/28/16 11:00 PM,64.832,0.513
9/28/16 11:01 PM,64.832,0.518
9/28/16 11:02 PM,64.832,0.503
9/28/16 11:03 PM,64.85,0.489
9/28/16 11:04 PM,64.85,0.475
9/28/16 11:05 PM,64.868,0.475
9/28/16 11:06 PM,64.868,0.464
9/28/16 11:07 PM,64.886,0.453
9/28/16 11:08 PM,64.886,0.432
9/28/16 11:09 PM,64.904,0.442
9/28/16 11:10 PM,64.904,0.418
9/28/16 11:11 PM,64.922,0.434
9/28/16 11:12 PM,64.94,0.426
9/28/16 11:13 PM,64.958,0.423
9/28/16 11:14 PM,64.976,0.416
9/28/16 11:15 PM,64.994,0.405
9/28/16 11:16 PM,65.012,0.403
9/28/16 11:17 PM,65.03,0.413
9/28/16 11:18 PM,65.048,0.41
9/28/16 11:19 PM,65.066,0.423
9/28/16 11:20 PM,65.084,0.433
9/28/16 11:21 PM,65.102,0.42
9/28/16 11:22 PM,65.138,0.408
9/28/16 11:23 PM,65.174,0.422
9/28/16 11:24 PM,65.192,0.436
9/28/16 11:25 PM,65.228,0.421
9/28/16 11:26 PM,65.264,0.42
9/28/16 11:27 PM,65.264,0.426
9/28/16 11:28 PM,65.282,0.492
9/28/16 11:29 PM,65.282,0.488
9/28/16 11:30 PM,65.318,0.446
9/28/16 11:31 PM,65.336,0.504
9/28/16 11:32 PM,65.372,0.468
9/28/16 11:33 PM,65.408,0.451
9/28/16 11:34 PM,65.462,0.465
9/28/16 11:35 PM,65.498,0.507
9/28/16 11:36 PM,65.534,0.527
9/28/16 11:37 PM,65.516,0.476
9/28/16 11:38 PM,65.516,0.497
9/28/16 11:39 PM,65.516,0.483
9/28/16 11:40 PM,65.552,0.591
9/28/16 11:41 PM,65.588,0.518
9/28/16 11:42 PM,65.624,0.515
9/28/16 11:43 PM,65.642,0.524
9/28/16 11:44 PM,65.66,0.557
9/28/16 11:45 PM,65.642,0.531
9/28/16 11:46 PM,65.642,0.5
9/28/16 11:47 PM,65.624,0.533
9/28/16 11:48 PM,65.642,0.558
9/28/16 11:49 PM,65.624,0.5
9/28/16 11:50 PM,65.624,0.524
9/28/16 11:51 PM,65.624,0.513
9/28/16 11:52 PM,65.606,0.524
9/28/16 11:53 PM,65.588,0.554
9/28/16 11:54 PM,65.57,0.545
9/28/16 11:55 PM,65.57,0.537
9/28/16 11:56 PM,65.57,0.534
9/28/16 11:57 PM,65.57,0.542
9/28/16 11:58 PM,65.57,0.55
9/28/16 11:59 PM,65.57,0.577
9/29/16 12:00 AM,65.588,0.532
9/29/16 12:01 AM,65.588,0.539
9/29/16 12:02 AM,65.588,0.501
9/29/16 12:03 AM,65.606,0.499
9/29/16 12:04 AM,65.606,0.487
9/29/16 12:05 AM,65.606,0.486
