Date and Time,Water Temperature (F),Estimated Flow Rate (m3/s)
9/28/16 1:00 PM,64.562,0.073
9/28/16 1:01 PM,64.544,0.072
9/28/16 1:02 PM,64.544,0.073
9/28/16 1:03 PM,64.562,0.073
9/28/16 1:04 PM,64.544,0.07
9/28/16 1:05 PM,64.544,0.072
9/28/16 1:06 PM,64.544,0.068
9/28/16 1:07 PM,64.544,0.071
9/28/16 1:08 PM,64.58,0.07
9/28/16 1:09 PM,64.562,0.07
9/28/16 1:10 PM,64.544,0.069
9/28/16 1:11 PM,64.562,0.068
9/28/16 1:12 PM,64.562,0.066
9/28/16 1:13 PM,64.58,0.067
9/28/16 1:14 PM,64.58,0.065
9/28/16 1:15 PM,64.598,0.067
9/28/16 1:16 PM,64.598,0.068
9/28/16 1:17 PM,64.634,0.067
9/28/16 1:18 PM,64.616,0.068
9/28/16 1:19 PM,64.616,0.071
9/28/16 1:20 PM,64.616,0.071
9/28/16 1:21 PM,64.616,0.07
9/28/16 1:22 PM,64.616,0.067
9/28/16 1:23 PM,64.634,0.068
9/28/16 1:24 PM,64.616,0.068
9/28/16 1:25 PM,64.634,0.07
9/28/16 1:26 PM,64.652,0.072
9/28/16 1:27 PM,64.67,0.073
9/28/16 1:28 PM,64.688,0.074
9/28/16 1:29 PM,64.706,0.071
9/28/16 1:30 PM,64.724,0.07
9/28/16 1:31 PM,64.724,0.075
9/28/16 1:32 PM,64.706,0.072
9/28/16 1:33 PM,64.724,0.07
9/28/16 1:34 PM,64.706,0.067
9/28/16 1:35 PM,64.706,0.068
9/28/16 1:36 PM,64.724,0.063
9/28/16 1:37 PM,64.706,0.064
9/28/16 1:38 PM,64.706,0.06
9/28/16 1:39 PM,64.706,0.059
9/28/16 1:40 PM,64.688,0.059
9/28/16 1:41 PM,64.67,0.059
9/28/16 1:42 PM,64.688,0.059
9/28/16 1:43 PM,64.688,0.058
9/28/16 1:44 PM,64.706,0.06
9/28/16 1:45 PM,64.742,0.062
9/28/16 1:46 PM,64.742,0.062
9/28/16 1:47 PM,64.742,0.06
9/28/16 1:48 PM,64.742,0.061
9/28/16 1:49 PM,64.76,0.061
9/28/16 1:50 PM,64.778,0.058
9/28/16 1:51 PM,64.796,0.06
9/28/16 1:52 PM,64.814,0.059
9/28/16 1:53 PM,64.85,0.06
9/28/16 1:54 PM,64.868,0.062
9/28/16 1:55 PM,64.868,0.061
9/28/16 1:56 PM,64.85,0.058
9/28/16 1:57 PM,64.832,0.062
9/28/16 1:58 PM,64.868,0.06
9/28/16 1:59 PM,64.886,0.061
9/28/16 2:00 PM,64.832,0.058
9/28/16 2:01 PM,64.814,0.057
9/28/16 2:02 PM,64.886,0.057
9/28/16 2:03 PM,64.904,0.059
9/28/16 2:04 PM,64.886,0.057
9/28/16 2:05 PM,64.886,0.055
9/28/16 2:06 PM,64.886,0.056
9/28/16 2:07 PM,64.886,0.057
9/28/16 2:08 PM,64.904,0.058
9/28/16 2:09 PM,64.922,0.055
9/28/16 2:10 PM,64.904,0.056
9/28/16 2:11 PM,64.904,0.054
9/28/16 2:12 PM,64.886,0.051
9/28/16 2:13 PM,64.868,0.055
9/28/16 2:14 PM,64.868,0.055
9/28/16 2:15 PM,64.868,0.057
9/28/16 2:16 PM,64.868,0.056
9/28/16 2:17 PM,64.868,0.053
9/28/16 2:18 PM,64.886,0.051
9/28/16 2:19 PM,64.904,0.051
9/28/16 2:20 PM,64.922,0.053
9/28/16 2:21 PM,64.94,0.053
9/28/16 2:22 PM,64.94,0.052
9/28/16 2:23 PM,64.94,0.05
9/28/16 2:24 PM,64.922,0.048
9/28/16 2:25 PM,64.922,0.044
9/28/16 2:26 PM,64.94,0.045
9/28/16 2:27 PM,64.994,0.048
9/28/16 2:28 PM,65.03,0.044
9/28/16 2:29 PM,65.03,0.044
9/28/16 2:30 PM,65.066,0.045
9/28/16 2:31 PM,65.156,0.043
9/28/16 2:32 PM,65.282,0.045
9/28/16 2:33 PM,65.372,0.047
9/28/16 2:34 PM,65.39,0.047
9/28/16 2:35 PM,65.408,0.05
9/28/16 2:36 PM,65.408,0.048
9/28/16 2:37 PM,65.39,0.051
9/28/16 2:38 PM,65.39,0.05
9/28/16 2:39 PM,65.408,0.051
9/28/16 2:40 PM,65.408,0.05
9/28/16 2:41 PM,65.39,0.047
9/28/16 2:42 PM,65.372,0.048
9/28/16 2:43 PM,65.336,0.049
9/28/16 2:44 PM,65.318,0.048
9/28/16 2:45 PM,65.318,0.046
9/28/16 2:46 PM,65.318,0.047
9/28/16 2:47 PM,65.282,0.049
9/28/16 2:48 PM,65.3,0.05
9/28/16 2:49 PM,65.336,0.052
9/28/16 2:50 PM,65.408,0.052
9/28/16 2:51 PM,65.336,0.051
9/28/16 2:52 PM,65.282,0.055
9/28/16 2:53 PM,65.264,0.05
9/28/16 2:54 PM,65.228,0.046
9/28/16 2:55 PM,65.21,0.048
9/28/16 2:56 PM,65.192,0.046
9/28/16 2:57 PM,65.174,0.049
9/28/16 2:58 PM,65.174,0.049
9/28/16 2:59 PM,65.174,0.052
9/28/16 3:00 PM,65.174,0.051
9/28/16 3:01 PM,65.174,0.053
9/28/16 3:02 PM,65.174,0.054
9/28/16 3:03 PM,65.174,0.056
9/28/16 3:04 PM,65.174,0.057
9/28/16 3:05 PM,65.156,0.061
9/28/16 3:06 PM,65.174,0.061
9/28/16 3:07 PM,65.174,0.061
9/28/16 3:08 PM,65.174,0.058
9/28/16 3:09 PM,65.174,0.06
9/28/16 3:10 PM,65.174,0.06
9/28/16 3:11 PM,65.192,0.062
9/28/16 3:12 PM,65.192,0.063
9/28/16 3:13 PM,65.192,0.063
9/28/16 3:14 PM,65.21,0.06
9/28/16 3:15 PM,65.21,0.06
9/28/16 3:16 PM,65.21,0.062
9/28/16 3:17 PM,65.21,0.06
9/28/16 3:18 PM,65.21,0.061
9/28/16 3:19 PM,65.228,0.061
9/28/16 3:20 PM,65.228,0.059
9/28/16 3:21 PM,65.228,0.056
9/28/16 3:22 PM,65.228,0.057
9/28/16 3:23 PM,65.228,0.059
9/28/16 3:24 PM,65.228,0.059
9/28/16 3:25 PM,65.246,0.058
9/28/16 3:26 PM,65.246,0.059
9/28/16 3:27 PM,65.246,0.059
9/28/16 3:28 PM,65.246,0.054
9/28/16 3:29 PM,65.246,0.055
9/28/16 3:30 PM,65.246,0.054
9/28/16 3:31 PM,65.246,0.051
9/28/16 3:32 PM,65.246,0.054
9/28/16 3:33 PM,65.264,0.056
9/28/16 3:34 PM,65.264,0.053
9/28/16 3:35 PM,65.264,0.057
9/28/16 3:36 PM,65.264,0.059
9/28/16 3:37 PM,65.858,0.059
9/28/16 3:38 PM,66.2,0.07
9/28/16 3:39 PM,66.47,0.243
9/28/16 3:40 PM,66.416,0.304
9/28/16 3:41 PM,66.254,0.499
9/28/16 3:42 PM,66.074,1.162
9/28/16 3:43 PM,66.164,3.301
9/28/16 3:44 PM,66.758,4.61
9/28/16 3:45 PM,66.542,5.611
9/28/16 3:46 PM,66.452,5.376
9/28/16 3:47 PM,66.254,5.988
9/28/16 3:48 PM,65.66,5.234
9/28/16 3:49 PM,65.174,5.93
9/28/16 3:50 PM,64.922,5.872
9/28/16 3:51 PM,64.724,7.131
9/28/16 3:52 PM,64.886,7.684
9/28/16 3:53 PM,64.976,7.991
9/28/16 3:54 PM,64.796,8.221
9/28/16 3:55 PM,64.58,8.541
9/28/16 3:56 PM,64.328,8.743
9/28/16 3:57 PM,64.094,8.961
9/28/16 3:58 PM,63.842,9.277
9/28/16 3:59 PM,63.572,8.987
9/28/16 4:00 PM,63.266,8.82
9/28/16 4:01 PM,62.96,8.579
9/28/16 4:02 PM,62.708,8.554
9/28/16 4:03 PM,62.42,9.806
9/28/16 4:04 PM,62.24,8.392
9/28/16 4:05 PM,62.042,8.554
9/28/16 4:06 PM,61.88,8.281
9/28/16 4:07 PM,61.754,7.895
9/28/16 4:08 PM,61.664,8.306
9/28/16 4:09 PM,61.574,7.885
9/28/16 4:10 PM,61.484,7.673
9/28/16 4:11 PM,61.412,6.485
9/28/16 4:12 PM,61.34,7.287
9/28/16 4:13 PM,61.286,6.433
9/28/16 4:14 PM,61.196,6.193
9/28/16 4:15 PM,61.142,6.252
9/28/16 4:16 PM,61.088,5.988
9/28/16 4:17 PM,61.016,4.919
9/28/16 4:18 PM,60.962,5.2
9/28/16 4:19 PM,60.89,5.385
9/28/16 4:20 PM,60.818,4.762
9/28/16 4:21 PM,60.728,4.722
9/28/16 4:22 PM,60.656,4.746
9/28/16 4:23 PM,60.548,4.4
9/28/16 4:24 PM,60.476,4.392
9/28/16 4:25 PM,60.386,4.226
9/28/16 4:26 PM,60.332,4.4
9/28/16 4:27 PM,60.278,4.241
9/28/16 4:28 PM,60.206,3.902
9/28/16 4:29 PM,60.152,3.888
9/28/16 4:30 PM,60.116,3.697
9/28/16 4:31 PM,60.062,3.618
9/28/16 4:32 PM,60.026,3.52
9/28/16 4:33 PM,60.008,3.489
9/28/16 4:34 PM,59.99,3.138
9/28/16 4:35 PM,59.99,3.127
9/28/16 4:36 PM,60.008,2.972
9/28/16 4:37 PM,59.99,2.91
9/28/16 4:38 PM,59.954,2.644
9/28/16 4:39 PM,59.936,2.503
9/28/16 4:40 PM,59.918,2.346
9/28/16 4:41 PM,59.918,2.44
9/28/16 4:42 PM,59.9,2.236
9/28/16 4:43 PM,59.9,2.192
9/28/16 4:44 PM,59.918,2.214
9/28/16 4:45 PM,59.936,1.89
9/28/16 4:46 PM,59.936,2.022
9/28/16 4:47 PM,59.954,1.777
9/28/16 4:48 PM,59.972,1.663
9/28/16 4:49 PM,60.008,1.628
9/28/16 4:50 PM,60.044,1.484
9/28/16 4:51 PM,60.08,1.522
9/28/16 4:52 PM,60.134,1.438
9/28/16 4:53 PM,60.188,1.232
9/28/16 4:54 PM,60.242,1.094
9/28/16 4:55 PM,60.296,1.15
9/28/16 4:56 PM,60.332,1.063
9/28/16 4:57 PM,60.386,0.96
9/28/16 4:58 PM,60.422,0.847
9/28/16 4:59 PM,60.458,0.92
9/28/16 5:00 PM,60.512,0.83
9/28/16 5:01 PM,60.548,0.856
9/28/16 5:02 PM,60.584,0.794
9/28/16 5:03 PM,60.638,0.796
9/28/16 5:04 PM,60.674,0.716
9/28/16 5:05 PM,60.71,0.785
9/28/16 5:06 PM,60.764,0.73
9/28/16 5:07 PM,60.8,0.743
9/28/16 5:08 PM,60.872,0.732
9/28/16 5:09 PM,60.908,0.68
9/28/16 5:10 PM,60.944,0.653
9/28/16 5:11 PM,60.998,0.642
9/28/16 5:12 PM,61.052,0.61
9/28/16 5:13 PM,61.106,0.571
9/28/16 5:14 PM,61.16,0.559
9/28/16 5:15 PM,61.214,0.597
9/28/16 5:16 PM,61.268,0.576
9/28/16 5:17 PM,61.304,0.533
9/28/16 5:18 PM,61.358,0.539
9/28/16 5:19 PM,61.394,0.492
9/28/16 5:20 PM,61.448,0.489
9/28/16 5:21 PM,61.502,0.495
9/28/16 5:22 PM,61.556,0.467
9/28/16 5:23 PM,61.61,0.47
9/28/16 5:24 PM,61.646,0.446
9/28/16 5:25 PM,61.7,0.456
9/28/16 5:26 PM,61.754,0.452
9/28/16 5:27 PM,61.79,0.428
9/28/16 5:28 PM,61.844,0.404
9/28/16 5:29 PM,61.898,0.442
9/28/16 5:30 PM,61.934,0.415
9/28/16 5:31 PM,61.988,0.4
9/28/16 5:32 PM,62.024,0.392
9/28/16 5:33 PM,62.06,0.396
9/28/16 5:34 PM,62.114,0.387
9/28/16 5:35 PM,62.15,0.376
9/28/16 5:36 PM,62.204,0.362
9/28/16 5:37 PM,62.24,0.357
9/28/16 5:38 PM,62.276,0.356
9/28/16 5:39 PM,62.312,0.347
9/28/16 5:40 PM,62.348,0.34
9/28/16 5:41 PM,62.384,0.333
9/28/16 5:42 PM,62.438,0.329
9/28/16 5:43 PM,62.474,0.329
9/28/16 5:44 PM,62.51,0.324
9/28/16 5:45 PM,62.546,0.32
9/28/16 5:46 PM,62.582,0.322
9/28/16 5:47 PM,62.618,0.317
9/28/16 5:48 PM,62.654,0.313
9/28/16 5:49 PM,62.69,0.312
9/28/16 5:50 PM,62.744,0.316
9/28/16 5:51 PM,62.798,0.327
9/28/16 5:52 PM,62.852,0.325
9/28/16 5:53 PM,62.906,0.322
9/28/16 5:54 PM,62.978,0.323
9/28/16 5:55 PM,63.068,0.318
9/28/16 5:56 PM,63.194,0.314
9/28/16 5:57 PM,63.338,0.309
9/28/16 5:58 PM,63.482,0.307
9/28/16 5:59 PM,63.698,0.316
9/28/16 6:00 PM,63.932,0.312
9/28/16 6:01 PM,64.184,0.311
9/28/16 6:02 PM,64.4,0.309
9/28/16 6:03 PM,64.616,0.314
9/28/16 6:04 PM,64.814,0.322
9/28/16 6:05 PM,64.976,0.324
9/28/16 6:06 PM,65.03,0.325
9/28/16 6:07 PM,65.084,0.33
9/28/16 6:08 PM,65.156,0.338
9/28/16 6:09 PM,65.246,0.332
9/28/16 6:10 PM,65.282,0.341
9/28/16 6:11 PM,65.318,0.353
9/28/16 6:12 PM,65.318,0.343
9/28/16 6:13 PM,65.372,0.343
9/28/16 6:14 PM,65.426,0.335
9/28/16 6:15 PM,65.48,0.332
9/28/16 6:16 PM,65.534,0.326
9/28/16 6:17 PM,65.57,0.322
9/28/16 6:18 PM,65.606,0.317
9/28/16 6:19 PM,65.642,0.313
9/28/16 6:20 PM,65.642,0.309
9/28/16 6:21 PM,65.624,0.308
9/28/16 6:22 PM,65.606,0.305
9/28/16 6:23 PM,65.57,0.302
9/28/16 6:24 PM,65.516,0.299
9/28/16 6:25 PM,65.48,0.305
9/28/16 6:26 PM,65.426,0.304
9/28/16 6:27 PM,65.372,0.301
9/28/16 6:28 PM,65.3,0.299
9/28/16 6:29 PM,65.228,0.297
9/28/16 6:30 PM,65.174,0.298
9/28/16 6:31 PM,65.12,0.295
9/28/16 6:32 PM,65.066,0.291
9/28/16 6:33 PM,65.03,0.289
9/28/16 6:34 PM,64.976,0.286
9/28/16 6:35 PM,64.94,0.286
9/28/16 6:36 PM,64.904,0.284
9/28/16 6:37 PM,64.868,0.279
9/28/16 6:38 PM,64.85,0.278
9/28/16 6:39 PM,64.832,0.274
9/28/16 6:40 PM,64.814,0.274
9/28/16 6:41 PM,64.796,0.273
9/28/16 6:42 PM,64.778,0.272
9/28/16 6:43 PM,64.76,0.268
9/28/16 6:44 PM,64.76,0.266
9/28/16 6:45 PM,64.76,0.266
9/28/16 6:46 PM,64.76,0.263
9/28/16 6:47 PM,64.778,0.262
9/28/16 6:48 PM,64.778,0.26
9/28/16 6:49 PM,64.814,0.259
9/28/16 6:50 PM,64.814,0.257
9/28/16 6:51 PM,64.832,0.255
9/28/16 6:52 PM,64.85,0.253
9/28/16 6:53 PM,64.886,0.251
9/28/16 6:54 PM,64.904,0.25
9/28/16 6:55 PM,64.922,0.249
9/28/16 6:56 PM,64.958,0.246
9/28/16 6:57 PM,64.976,0.245
9/28/16 6:58 PM,65.012,0.243
9/28/16 6:59 PM,65.03,0.241
9/28/16 7:00 PM,65.048,0.24
9/28/16 7:01 PM,65.066,0.239
9/28/16 7:02 PM,65.084,0.237
9/28/16 7:03 PM,65.102,0.237
9/28/16 7:04 PM,65.102,0.235
9/28/16 7:05 PM,65.12,0.231
9/28/16 7:06 PM,65.138,0.228
9/28/16 7:07 PM,65.138,0.225
9/28/16 7:08 PM,65.138,0.224
9/28/16 7:09 PM,65.138,0.223
9/28/16 7:10 PM,65.156,0.222
9/28/16 7:11 PM,65.138,0.218
9/28/16 7:12 PM,65.138,0.218
9/28/16 7:13 PM,65.156,0.216
9/28/16 7:14 PM,65.156,0.215
9/28/16 7:15 PM,65.138,0.212
9/28/16 7:16 PM,65.138,0.211
9/28/16 7:17 PM,65.138,0.212
9/28/16 7:18 PM,65.138,0.209
9/28/16 7:19 PM,65.138,0.209
9/28/16 7:20 PM,65.138,0.207
9/28/16 7:21 PM,65.12,0.203
9/28/16 7:22 PM,65.12,0.203
9/28/16 7:23 PM,65.12,0.203
9/28/16 7:24 PM,65.12,0.203
9/28/16 7:25 PM,65.102,0.203
9/28/16 7:26 PM,65.102,0.2
9/28/16 7:27 PM,65.102,0.2
9/28/16 7:28 PM,65.084,0.202
9/28/16 7:29 PM,65.084,0.201
9/28/16 7:30 PM,65.084,0.202
9/28/16 7:31 PM,65.084,0.199
9/28/16 7:32 PM,65.084,0.199
9/28/16 7:33 PM,65.066,0.199
9/28/16 7:34 PM,65.066,0.2
9/28/16 7:35 PM,65.066,0.197
9/28/16 7:36 PM,65.048,0.199
9/28/16 7:37 PM,65.048,0.197
9/28/16 7:38 PM,65.048,0.196
9/28/16 7:39 PM,65.048,0.195
9/28/16 7:40 PM,65.048,0.192
9/28/16 7:41 PM,65.03,0.189
9/28/16 7:42 PM,65.03,0.189
9/28/16 7:43 PM,65.03,0.188
9/28/16 7:44 PM,65.03,0.189
9/28/16 7:45 PM,65.012,0.189
9/28/16 7:46 PM,65.012,0.187
9/28/16 7:47 PM,65.012,0.184
9/28/16 7:48 PM,65.012,0.182
9/28/16 7:49 PM,65.012,0.182
9/28/16 7:50 PM,65.012,0.182
9/28/16 7:51 PM,64.994,0.181
9/28/16 7:52 PM,64.994,0.18
9/28/16 7:53 PM,64.994,0.18
9/28/16 7:54 PM,64.994,0.18
9/28/16 7:55 PM,64.994,0.178
9/28/16 7:56 PM,64.976,0.175
9/28/16 7:57 PM,64.976,0.176
9/28/16 7:58 PM,64.976,0.175
9/28/16 7:59 PM,64.976,0.172
9/28/16 8:00 PM,64.976,0.171
9/28/16 8:01 PM,64.976,0.173
9/28/16 8:02 PM,64.976,0.174
9/28/16 8:03 PM,64.976,0.173
9/28/16 8:04 PM,64.976,0.174
9/28/16 8:05 PM,64.976,0.175
9/28/16 8:06 PM,64.958,0.174
9/28/16 8:07 PM,64.958,0.174
9/28/16 8:08 PM,64.958,0.172
9/28/16 8:09 PM,64.958,0.169
9/28/16 8:10 PM,64.958,0.168
9/28/16 8:11 PM,64.958,0.167
9/28/16 8:12 PM,64.958,0.17
9/28/16 8:13 PM,64.94,0.169
9/28/16 8:14 PM,64.958,0.168
9/28/16 8:15 PM,64.958,0.166
9/28/16 8:16 PM,64.958,0.164
9/28/16 8:17 PM,64.958,0.161
9/28/16 8:18 PM,64.94,0.16
9/28/16 8:19 PM,64.958,0.159
9/28/16 8:20 PM,64.94,0.158
9/28/16 8:21 PM,64.958,0.154
9/28/16 8:22 PM,64.958,0.154
9/28/16 8:23 PM,64.958,0.153
9/28/16 8:24 PM,64.958,0.15
9/28/16 8:25 PM,64.94,0.15
9/28/16 8:26 PM,64.958,0.149
9/28/16 8:27 PM,64.94,0.147
9/28/16 8:28 PM,64.94,0.148
9/28/16 8:29 PM,64.94,0.146
9/28/16 8:30 PM,64.94,0.145
9/28/16 8:31 PM,64.94,0.142
9/28/16 8:32 PM,64.94,0.143
9/28/16 8:33 PM,64.94,0.142
9/28/16 8:34 PM,64.94,0.141
9/28/16 8:35 PM,64.94,0.139
9/28/16 8:36 PM,64.94,0.138
9/28/16 8:37 PM,64.94,0.136
9/28/16 8:38 PM,64.94,0.136
9/28/16 8:39 PM,64.94,0.138
9/28/16 8:40 PM,64.94,0.137
